home_team,away_team,home_score,away_score,start_date
University of West Georgia,Charleston Southern University,1,2,08-25-2024
Dartmouth College,Merrimack College,4,1,08-25-2024
University of New Hampshire,University of Connecticut,0,1,08-25-2024
Utah State University,Texas Tech University,2,0,08-25-2024
University of Texas at San Antonio,St. Mary's University (Texas),1,0,08-25-2024
The University of Tulsa,McNeese State University,6,0,08-25-2024
University of Montana,Montana State University Billings,2,0,08-25-2024
Gonzaga University,Kansas State University,2,0,08-25-2024
"University of California, Santa Barbara","California State University, Fresno",0,0,08-25-2024
San Jose State University,Northeastern University,1,1,08-25-2024
University of Texas at El Paso,"University of California, Riverside",0,1,08-25-2024
Colorado State University,California Baptist University,1,0,08-25-2024
Auburn University,Coastal Carolina University,3,0,08-25-2024
Iona University,"University of Maryland, Baltimore County",0,1,08-25-2024
Bellarmine University,Asbury University,8,0,08-25-2024
Duquesne University,Bowling Green State University,2,0,08-25-2024
University of New Mexico,University of Oregon,3,1,08-25-2024
University of Washington,"University of California, Irvine",2,0,08-25-2024
Samford University,Troy University,4,0,08-25-2024
University of the Pacific,"University of California, Davis",0,3,08-25-2024
Colgate University,Cornell University,1,1,08-25-2024
University of Georgia,Kennesaw State University,6,0,08-25-2024
Pepperdine University,University of Southern California,1,3,08-25-2024
"University of Maryland, College Park",James Madison University,1,1,08-25-2024
"University of California, Los Angeles",Santa Clara University,1,0,08-25-2024
"California State University, Fullerton",Stanford University,0,1,08-25-2024
"University of California, San Diego","University of Nevada, Reno",3,0,08-25-2024
Austin Peay State University,University of Tennessee at Martin,1,1,08-25-2024
Eastern Illinois University,Purdue University Fort Wayne,0,1,08-25-2024
Appalachian State University,The University of North Carolina at Charlotte,1,1,08-25-2024
Northern Kentucky University,University of Louisville,1,2,08-25-2024
Rider University,Seton Hall University,0,1,08-25-2024
Lindenwood University,University of Missouri-Kansas City,0,3,08-25-2024
The Ohio State University,Ashland University,3,1,08-25-2024
Gardner-Webb University,Converse University,2,0,08-25-2024
"Southern University, Baton Rouge",Houston Christian University,1,2,08-25-2024
Middle Tennessee State University,Tennessee Technological University,3,2,08-25-2024
University of Florida,University of Central Florida,2,2,08-25-2024
Towson University,George Washington University,0,3,08-25-2024
George Mason University,William & Mary,0,3,08-25-2024
Drexel University,University of Pennsylvania,2,1,08-25-2024
University of Delaware,La Salle University,2,4,08-25-2024
University of Tennessee at Chattanooga,University of Alabama,0,4,08-25-2024
Baylor University,University of Portland,1,0,08-25-2024
Iowa State University,University of Northern Iowa,6,1,08-25-2024
Western Kentucky University,University of Evansville,4,1,08-25-2024
East Carolina University,Campbell University,0,0,08-25-2024
"University of South Carolina, Columbia",College of Charleston (South Carolina),4,1,08-25-2024
Elon University,Queens University of Charlotte,1,0,08-25-2024
University of Dayton,Xavier University,0,3,08-25-2024
University of San Francisco,"University of California, Berkeley",1,6,08-25-2024
Colorado College,University of Northern Colorado,2,0,08-25-2024
Loyola University Chicago,DePaul University,1,0,08-25-2024
"University of Missouri, Columbia",Saint Louis University,0,2,08-25-2024
Louisiana State University,Arizona State University,2,5,08-25-2024
Louisiana Tech University,Grambling State University,3,3,08-25-2024
University of Mississippi,University of Memphis,1,2,08-25-2024
University of Oklahoma,Oral Roberts University,4,1,08-25-2024
Texas State University,University of the Incarnate Word,4,0,08-25-2024
Utah Tech University,University of Nebraska Omaha,0,0,08-25-2024
Southern Methodist University,Stephen F. Austin State University,3,2,08-25-2024
Washington State University,University of Idaho,2,1,08-25-2024
