team,wins,losses,draws,wp,owp,oowp,rpi
Duquesne University,1,1,0,0.5,0.0,0.75,0.31
Emporia State University,0,1,0,0.0,0.5,0.25,0.31
Stony Brook University,1,0,1,0.75,0.0,0.5,0.31
"University of Minnesota, Crookston",0,1,0,0.0,0.5,0.25,0.31
University of Northern Iowa,1,0,0,1.0,0.0,0.25,0.31
University of Vermont,1,0,1,0.75,0.0,0.5,0.31
Washington State University,0,1,0,0.0,0.25,0.75,0.31
The University of Texas Rio Grande Valley,0,1,1,0.25,0.33,0.29,0.3
"California State University, Northridge",0,3,0,0.0,0.5,0.17,0.29
Eastern Washington University,1,1,0,0.5,0.0,0.67,0.29
Longwood University,0,2,0,0.0,0.5,0.17,0.29
South Dakota State University,1,2,0,0.33,0.17,0.47,0.29
University of Miami (Florida),0,1,1,0.25,0.12,0.67,0.29
Arizona State University,0,0,2,0.5,0.0,0.62,0.28
Binghamton University,1,1,0,0.5,0.0,0.62,0.28
Lamar University,0,1,1,0.25,0.25,0.38,0.28
Stephen F. Austin State University,0,0,2,0.5,0.0,0.62,0.28
University of Illinois Chicago,1,1,0,0.5,0.0,0.62,0.28
University of Washington,0,0,2,0.5,0.0,0.62,0.28
Pepperdine University,1,1,0,0.5,0.0,0.56,0.27
University of Northern Colorado,0,3,0,0.0,0.42,0.25,0.27
Fairfield University,1,0,0,1.0,0.0,0.0,0.25
"Fairleigh Dickinson University, Metropolitan Campus",0,1,0,0.0,0.5,0.0,0.25
Georgetown University,1,0,0,1.0,0.0,0.0,0.25
Georgia Southern University,1,1,0,0.5,0.0,0.5,0.25
Iowa State University,1,1,1,0.5,0.0,0.5,0.25
Jacksonville State University,1,0,0,1.0,0.0,0.0,0.25
Mercyhurst University,0,2,0,0.0,0.5,0.0,0.25
North Dakota State University,1,0,0,1.0,0.0,0.0,0.25
Northeastern University,0,1,0,0.0,0.0,1.0,0.25
Saint Anselm College,0,1,0,0.0,0.5,0.0,0.25
Saint Joseph's University,1,0,0,1.0,0.0,0.0,0.25
Southern Illinois University at Carbondale,1,0,0,1.0,0.0,0.0,0.25
Southern Wesleyan University,0,1,0,0.0,0.0,1.0,0.25
Tennessee Technological University,0,2,1,0.17,0.33,0.17,0.25
Tiffin University,0,1,0,0.0,0.5,0.0,0.25
University of Central Arkansas,0,1,0,0.0,0.25,0.5,0.25
"University of Maryland, Baltimore County",0,2,0,0.0,0.5,0.0,0.25
University of Massachusetts Lowell,1,1,0,0.5,0.0,0.5,0.25
University of South Dakota,1,0,0,1.0,0.0,0.0,0.25
University of St. Thomas (Minnesota),0,1,0,0.0,0.5,0.0,0.25
Vanderbilt University,1,0,0,1.0,0.0,0.0,0.25
Bryant University,1,1,0,0.5,0.0,0.44,0.23
Miami University (Ohio),1,1,1,0.5,0.0,0.44,0.23
Kennesaw State University,0,3,0,0.0,0.33,0.17,0.21
Indiana University Indianapolis,0,1,1,0.25,0.0,0.56,0.2
Chicago State University,0,2,0,0.0,0.25,0.25,0.19
University of North Carolina Asheville,0,1,0,0.0,0.0,0.75,0.19
George Washington University,0,2,0,0.0,0.25,0.17,0.17
Portland State University,0,3,0,0.0,0.25,0.19,0.17
Sacred Heart University,0,2,0,0.0,0.25,0.17,0.17
Houston Christian University,0,2,0,0.0,0.12,0.42,0.16
Eastern Kentucky University,0,3,0,0.0,0.25,0.08,0.14
Long Island University,0,2,0,0.0,0.0,0.58,0.14
Columbia University-Barnard College,0,0,1,0.5,0.0,0.0,0.12
Hofstra University,0,0,1,0.5,0.0,0.0,0.12
Marist College,0,1,1,0.25,0.0,0.25,0.12
New Jersey Institute of Technology,0,0,1,0.5,0.0,0.0,0.12
Robert Morris University,0,0,1,0.5,0.0,0.0,0.12
University of South Carolina Upstate,0,1,0,0.0,0.0,0.5,0.12
University of Southern Indiana,0,0,1,0.5,0.0,0.0,0.12
University of Tennessee at Martin,0,1,0,0.0,0.0,0.5,0.12
Valparaiso University,0,1,0,0.0,0.0,0.5,0.12
Western Illinois University,0,2,0,0.0,0.25,0.0,0.12
Jackson State University,0,1,0,0.0,0.0,0.38,0.1
"University of California, San Diego",0,2,0,0.0,0.12,0.17,0.1
North American,0,1,0,0.0,0.0,0.25,0.06
Alabama State University,0,1,0,0.0,0.0,0.0,0.0
Belmont University,0,1,0,0.0,0.0,0.0,0.0
Boston University,0,1,0,0.0,0.0,0.0,0.0
Central Connecticut State University,0,1,0,0.0,0.0,0.0,0.0
Lafayette College,0,1,0,0.0,0.0,0.0,0.0
Morningside,0,1,0,0.0,0.0,0.0,0.0
Quinnipiac University,0,1,0,0.0,0.0,0.0,0.0
Southeast Missouri State University,0,1,0,0.0,0.0,0.0,0.0
Stonehill College,0,1,0,0.0,0.0,0.0,0.0
University of West Georgia,0,1,0,0.0,0.0,0.0,0.0
